Gage_ID,FullName,RiverMile,River,GageType,Pool,Reach
05446500,Rock River,479,UM,Trib,16,
05527500,Kankakee River,272.8,IL,Trib,DR,
05552500,Fox River,239.8,IL,Trib,SR,
05555300,Vermilion River,226.4,IL,Trib,PE,
05570000,Spoon River,120.55,IL,Trib,LA,
05583000,Sangamon River,88.9,IL,Trib,LA,
05585000,La Moine River,83.75,IL,Trib,LA,
BEAI2,Beardstown,88.6,IL,Main,LA,CEMVR_IL_LA_MVR_9
BRLI4,Burlington,403.2,UM,Main,19,CEMVR_UM_19_MVR_8
CMMI4,Camanche,511.8,UM,Main,14,CEMVR_UM_14_MVR_11
COPI2,Copperas Creek,136.8,IL,Main,LA,CEMVR_IL_LA_MVR_57
DBQI4,Dubuque,579.9,UM,Main,12,CEMVR_UM_12_MVR_4
FAII4,Fairport,463.5,UM,Main,16,CEMVR_UM_16_MVR_20
GGYM7,Gregory Landing,352.9,UM,Main,20,CEMVR_UM_20_MVR_11
HAVI2,Havana,119.55,IL,Main,LA,CEMVR_IL_LA_MVR_40
HNNM7,Hannibal,309,UM,Main,22,CEMVR_UM_22_MVR_16
HNYI2,Henry,196,IL,Main,PE,CEMVR_IL_PE_MVR_38
IL03,BrandonRoad,285.9,IL,Main,DR,CEMVR_IL_DR_MVR_14
IL03_Tail,BrandonRoad,285.9,IL,Main,DR,CEMVR_IL_DR_MVR_14
IL04,Dresden,271.5,IL,Main,DR,CEMVR_IL_DR_MVR_1
IL04_Tail,Dresden,271.5,IL,Main,MA,CEMVR_IL_MA_MVR_26
IL05,Marseilles,244.5,IL,Main,MA,CEMVR_IL_MA_MVR_1
IL05_Tail,Marseilles,244.5,IL,Main,MA,CEMVR_IL_MA_MVR_1
IL06,StarvedRock,231.1,IL,Main,SR,CEMVR_IL_SR_MVR_1
IL06_Tail,StarvedRock,231.1,IL,Main,SR,CEMVR_IL_SR_MVR_1
IL07,Peoria,157.9,IL,Main,PE,CEMVR_IL_PE_MVR_1
IL07_Tail,Peoria,157.9,IL,Main,PE,CEMVR_IL_PE_MVR_1
IL08,LaGrange,80.2,IL,Main,LA,CEMVR_IL_LA_MVR_1
IL08_Tail,LaGrange,80.2,IL,Main,LA,CEMVR_IL_LA_MVR_1
KHBI2,Keithsburg,427.4,UM,Main,18,CEMVR_UM_18_MVR_9
KNGI2,KingstonMines,145.4,IL,Main,LA,CEMVR_IL_LA_MVR_66
LSLI2,LaSalle,224.7,IL,Main,PE,CEMVR_IL_PE_MVR_66
MI11,LD11,583,UM,Main,11,CEMVR_UM_11_MVR_31
MI11_Tail,LD11_Tail,583,UM,Main,12,CEMVR_UM_12_MVR_1
MI12,LD12,556.7,UM,Main,12,CEMVR_UM_12_MVR_26
MI12_Tail,LD12_Tail,556.7,UM,Main,13,CEMVR_UM_13_MVR_1
MI13,LD13,522.5,UM,Main,13,CEMVR_UM_13_MVR_33
MI13_Tail,LD13_Tail,522.5,UM,Main,14,CEMVR_UM_14_MVR_1
MI14,LD14,493.3,UM,Main,14,CEMVR_UM_14_MVR_28
MI14_Tail,LD14_Tail,493.3,UM,Main,15,CEMVR_UM_15_MVR_1
MI15,LD15,483,UM,Main,15,CEMVR_UM_15_MVR_10
MI15_Tail,LD15_Tail,483,UM,Main,16,CEMVR_UM_16_MVR_1
MI16,LD16,457.3,UM,Main,16,CEMVR_UM_16_MVR_26
MI16_Tail,LD16_Tail,457.3,UM,Main,17,CEMVR_UM_17_MVR_1
MI17,LD17,437.2,UM,Main,17,CEMVR_UM_17_MVR_20
MI17_Tail,LD17_Tail,437.2,UM,Main,18,CEMVR_UM_18_MVR_1
MI18,LD18,410.6,UM,Main,18,CEMVR_UM_18_MVR_26
MI18_Tail,LD18_Tail,410.6,UM,Main,19,CEMVR_UM_19_MVR_1
MI19,LD19,364.3,UM,Main,19,CEMVR_UM_19_MVR_46
MI19_Tail,LD19_Tail,364.3,UM,Main,20,CEMVR_UM_20_MVR_1
MI20,LD20,343.3,UM,Main,20,CEMVR_UM_20_MVR_20
MI20_Tail,LD20_Tail,343.3,UM,Main,21,CEMVR_UM_21_MVR_1 
MI21,LD21,325,UM,Main,21,CEMVR_UM_21_MVR_18
MI21_Tail,LD21_Tail,325,UM,Main,22,CEMVR_UM_22_MVR_1
MI22,LD22,301.3,UM,Main,22,CEMVR_UM_22_MVR_24
MI22_Tail,LD22_Tail,301.3,UM,Main,24,CEMVR_UM_24_MVR_1
MORI2,Morris,263.1,IL,Main,MA,CEMVR_IL_MA_MVR_19
MUSI4,Muscatine,452.94,UM,Main,17,CEMVR_UM_17_MVR_5
PIAI2,PeoriaIL,164.6,IL,Main,PE,CEMVR_IL_PE_MVR_7
UINI2,Quincy,327,UM,Main,21,CEMVR_UM_21_MVR_17
